Date,Visitor,Visitor Score,Home Team,Home Score,Line,Winning,Winning Points,Losing,Losing Points,Year
9/1/78,Penn State,10,Temple,7,-24.5,Penn State,10,Temple,7,1978
9/2/78,Arkansas State,20,Tulsa,21,1,Tulsa,21,Arkansas State,20,1978
9/2/78,East Carolina,14,Western Carolina,6, ,East Carolina,14,Western Carolina,6,1978
9/2/78,Eastern Michigan,3,Northern Michigan,30, ,Northern Michigan,30,Eastern Michigan,3,1978
9/2/78,Nebraska,3,Alabama,20,11.5,Alabama,20,Nebraska,3,1978
9/2/78,Southern Miss,10,Richmond,7, ,Southern Miss,10,Richmond,7,1978
9/2/78,Texas-Arlington,23,Drake,25, ,Drake,25,Texas-Arlington,23,1978
9/2/78,UTEP,0,North Texas,49, ,North Texas,49,UTEP,0,1978
9/2/78,West Texas A+M,0,Mississippi State,28,12,Mississippi State,28,West Texas A+M,0,1978
9/3/78,Utah State,10,Idaho State,0, ,Utah State,10,Idaho State,0,1978
9/9/78,Air Force,34,UTEP,25, ,Air Force,34,UTEP,25,1978
9/9/78,Bowling Green,28,Villanova,35, ,Villanova,35,Bowling Green,28,1978
9/9/78,Brigham Young,10,Oregon State,6,-5,Brigham Young,10,Oregon State,6,1978
9/9/78,California,26,Nebraska,36,10,Nebraska,36,California,26,1978
9/9/78,Chattanooga,42,Western Kentucky,15, ,Chattanooga,42,Western Kentucky,15,1978
9/9/78,East Carolina,13,No Carolina State,29, ,No Carolina State,29,East Carolina,13,1978
9/9/78,Eastern Michigan,22,Ohio,23, ,Ohio,23,Eastern Michigan,22,1978
9/9/78,Fresno State,16,McNeese State,21, ,McNeese State,21,Fresno State,16,1978
9/9/78,Florida State,28,Syracuse,0,-1.5,Florida State,28,Syracuse,0,1978
9/9/78,Fullerton State,12,Boise State,42, ,Boise State,42,Fullerton State,12,1978
9/9/78,Furman,10,South Carolina,45, ,South Carolina,45,Furman,10,1978
9/9/78,Georgia Tech,10,Duke,28,-2,Duke,28,Georgia Tech,10,1978
9/9/78,Iowa State,23,Rice,19,-19,Iowa State,23,Rice,19,1978
9/9/78,Idaho,14,San Jose State,31, ,San Jose State,31,Idaho,14,1978
9/9/78,Idaho State,0,Utah,56, ,Utah,56,Idaho State,0,1978
9/9/78,Illinois State,17,Western Michigan,27, ,Western Michigan,27,Illinois State,17,1978
9/9/78,Kent State,0,Central Michigan,41, ,Central Michigan,41,Kent State,0,1978
9/9/78,Kansas State,0,Arizona,31,10.5,Arizona,31,Kansas State,0,1978
9/9/78,Lamar,17,Northwestern St(LA),21, ,Northwestern St(LA),21,Lamar,17,1978
9/9/78,Long Beach State,10,UL-Lafayette,0, ,Long Beach State,10,UL-Lafayette,0,1978
9/9/78,Marshall,17,Toledo,0, ,Marshall,17,Toledo,0,1978
9/9/78,Memphis,7,Mississippi,14,10.5,Mississippi,14,Memphis,7,1978
9/9/78,Miami-Ohio,14,Ball State,38, ,Ball State,38,Miami-Ohio,14,1978
9/9/78,Missouri,3,Notre Dame,0,17,Missouri,3,Notre Dame,0,1978
9/9/78,Mississippi State,17,North Texas,5,4,Mississippi State,17,North Texas,5,1978
9/9/78,New Hampshire,14,Holy Cross,19, ,Holy Cross,19,New Hampshire,14,1978
9/9/78,Nicholls State,0,UL-Monroe,3, ,UL-Monroe,3,Nicholls State,0,1978
9/9/78,New Mexico,16,Hawaii,22, ,Hawaii,22,New Mexico,16,1978
9/9/78,New Mexico State,14,Indiana State,9, ,New Mexico State,14,Indiana State,9,1978
9/9/78,Northwestern,0,Illinois,0,11,Northwestern,0,Illinois,0,1978
9/9/78,Oklahoma,35,Stanford,29,-13.5,Oklahoma,35,Stanford,29,1978
9/9/78,Oklahoma State,10,Wichita State,20,-10.5,Wichita State,20,Oklahoma State,10,1978
9/9/78,Oregon,7,Colorado,24,20.5,Colorado,24,Oregon,7,1978
9/9/78,Pacific,7,Arizona State,42, ,Arizona State,42,Pacific,7,1978
9/9/78,Presbyterian,17,The Citadel,28, ,The Citadel,28,Presbyterian,17,1978
9/9/78,Richmond,12,West Virginia,14,11,West Virginia,14,Richmond,12,1978
9/9/78,Rutgers,10,Penn State,26,21,Penn State,26,Rutgers,10,1978
9/9/78,South Dakota State,7,Louisville,54, ,Louisville,54,South Dakota State,7,1978
9/9/78,Southern Illinois,14,Drake,38, ,Drake,38,Southern Illinois,14,1978
9/9/78,Southern Miss,21,Arkansas State,6, ,Southern Miss,21,Arkansas State,6,1978
9/9/78,Texas Christian,14,S-M-U,45,12,S-M-U,45,Texas Christian,14,1978
9/9/78,Tennessee Tech,22,Western Carolina,20, ,Tennessee Tech,22,Western Carolina,20,1978
9/9/78,Texas Tech,9,Southern Cal,17,18,Southern Cal,17,Texas Tech,9,1978
